Id,Type,Name,Description,Link
29,Do Something,Practice active listening skills when meeting with your supervisor. You can then review what was heard and ask your supervisor for feedback.,,
30,Do Something,Practice new communication skills when presenting familiar information to various individuals.,,
31,Do Something,Be aware of your nonverbal cues. Ask a colleague to indicate the message your nonverbal cues are delivering.,,
32,Do Something,Outline the intended message of an important communication and gain feedback from your supervisor and colleagues before delivering it.,,
33,Do Something,Identify the cause(s) of a misunderstanding that occurred and develop a plan to avoid it in the future.,,
34,Do Something,"Identify how you acquired and developed your best communication skill. Then, use that insight to develop additional communication skills.",,
35,Do Something,Volunteer to teach a new work process or procedure to a colleague.,,
36,Do Something,"Write your perception of the meaning of a message following an interaction with an individual who is unfamiliar to you. Then, follow-up with the person to ensure that you have accurately interpreted the message.",,
37,Do Something,Be aware of the number of times you engage in active listening techniques and reflect on how such techniques impact your ability to understand a message.,,
38,Do Something,Identify a situation where miscommunication occurs and develop a plan to clarify the miscommunication.,,
39,Do Something,Offer to review a colleague’s written communication.,,
40,Do Something,Attend public speaking events to identify new communication skills.,,
41,Do Something,Offer to facilitate your next team meeting.,,
42,Do Something,Identify a presentation that needs to be completed and offer to develop and present it. Ask your supervisor and colleagues to provide feedback following the presentation.,,
43,Do Something,"Ask multiple colleagues to review your written work in order to identify common errors, then focus to improve them.",,
44,Do Something,"Identify different delivery methods by interacting with individuals from diverse backgrounds (individuals from different departments, different positions, etc.).",,
45,Do Something,Request feedback from audience members in order to identify gaps between the intended message and the message the audience perceived.,,
46,Do Something,Develop an improvement plan and present it to your supervisor and colleagues to communicate a process or procedure within the department.,,
47,Do Something,Document the feedback you receive regarding your communication approach and effectiveness in order to identify consistent themes in the feedback.,,
48,Do Something,Develop a communication plan for a project or an initiative you are responsible for completing. Then you can strategically deliver the message using the most effective medium.,,
49,Do Something,Practice changing nonverbal cues during conversation in order to best portray the intended meaning of the message.,,
50,Do Something,Look for opportunities to collaborate with colleagues and others outside your department in order to strengthen your ability to accommodate various audiences.  ,,
51,Do Something,Take a lead role in communicating a strategic plan for your department/organization.,,
52,Do Something,Seek opportunities to present complex information to a large group of people.,,
53,Do Something,"Offer colleagues assistance as they prepare to deliver high-impact, large-scale messages.",,
54,Do Something,Offer support to colleagues and ask probing questions to encourage others to openly share ideas with you.,,
55,Do Something,Draft a plan to improve communication within your department. Gain feedback from colleagues and your supervisor.,,
56,Engage With Others,Discuss your communication style with others in your group. Ask for feedback.,,
57,Engage With Others,Ask others in your group how they prefer to communicate. Do their preferences change based on the situation?,,
58,Engage With Others,Invite a colleague out to lunch. Use your listening skills to learn more about him or her.,,
59,Engage With Others,Identify a colleague who you feel expresses his or her ideas effectively. Observe his or her behavior when faced with a conflict situation.,,
60,Engage With Others,Identify a colleague who communicates effectively in writing. Ask if he or she can review an important email before you send.,,
61,Engage With Others,Attend an event or celebration with colleagues. Observe their non-verbal cues as they speak with you and with others.,,
62,Engage With Others,Attend a conference or networking event where you know very few people. Practice introducing yourself and asking questions to get to know others.,,
63,Engage With Others,Ask for feedback from colleagues or your supervisor on written and verbal messages – are you able to deliver your intended message in a way that encourages others and provides important information?,,
64,Engage With Others,Connect with a colleague and offer to proofread his or her written communication. Ask him or her to proofread your written communication.  ,,
65,Engage With Others,Ask a colleague to provide feedback regarding your nonverbal cues.,,
66,Engage With Others,Connect with individuals within other departments to identify best practices for communicating a new initiative.,,
67,Engage With Others,"During a conversation with a colleague, ask probing questions and create an open environment to encourage him or her to openly share feedback with you. ",,
68,Engage With Others,Practice providing positive feedback by acknowledging when someone exceeds your expectations. ,,
69,Engage With Others,"Engage colleagues - particularly companions and contributors – in the process of determining an appropriate medium for an important message that needs to be sent, or information that needs to be shared. ",,
70,Engage With Others,Invite other good communicators to a meeting you will lead. Request feedback regarding the nonverbal messages you sent,,
71,Engage With Others,"Help colleagues – particularly companions and contributors – develop communication strategies to improve written, nonverbal, and verbal communication.  ",,
72,Learn More,Written Communication ,,
73,Learn More,That's Not What I Wanted to Hear: Customer Service for the Unhappy Customer ,,
74,Learn More,Speakers Bureau Program,,
75,Learn More,So You Are New… Communication and Culture at CMU,,
76,Learn More,Organizational Communication ,,
77,Learn More,Listening Skills ,,
78,Learn More,Get Up and Go: Motivating Others,,
79,Learn More,Creating an Exceptional Customer Experience,,
80,Learn More,Conflict Resolution,,
81,Learn More,Communication Strategies in the Workplace ,,
82,Learn More,Collaboration 101 ,,
83,Learn More,Assertive Communication ,,
84,Reflect on It,Think about a time when you needed clarification on a request from your supervisor. How did you seek clarification? Did you receive the information you needed?,,
85,Reflect on It,"Think about a time when you chose to communicate in person, rather than by phone. Or, recall a time when you chose to communicate by e-mail rather than in person. Why did you make those choices? What were the outcomes? How would the outcomes have been different if you had chosen another mode of communication?",,
86,Reflect on It,"Think about how you communicate with your supervisor. Then, think about how you communicate with co-workers. Do you change your communication style based on who you’re communicating with? How so?",,
87,Reflect on It,Does my communication approach result in others understanding my intended message?,,
88,Reflect on It,How often do I practice active listening skills?,,
89,Reflect on It,"When delivering a message, do I overuse my preferred method of communication, or do I try various methods?",,
90,Reflect on It,Reflect on a time when you communicated a complicated idea successfully. What strategies did you use to ensure your communication was effective?,,
91,Reflect on It,"Reflect on a time when someone misunderstood your e-mail, letter or other written communication. Why did the misunderstanding occur? How could you have clarified your written message?",,
92,Reflect on It,Recall a time when someone neglected to inform you about an important decision. How did you address the problem? How can you ensure you are included in future communications?,,
93,Reflect on It,Think about a time when you neglected to inform someone of an important decision. What could you have done to include this person in your communication? How did you rectify the situation?,,
94,Reflect on It,"When experiencing conflict, identify the source of the conflict. It may not be what you expect. What motivations, attitudes and pressures may be contributing factors in creating conflict?",,
95,Reflect on It,Reflect on a time when you faced conflict with another person. How did you respond to the conflict? What would you change about your response?,,
96,Reflect on It,Think about a time when you sensed another person’s emotional state without being told. What non-verbal cues informed your intuition? How could you have tested your impression?,,
97,Reflect on It,Think of a time when you made a surprising and unintended impression on someone. How might your non-verbal cues have led to this impression?,,
98,Reflect on It,Consider how you determine which communication medium you use for a given message.  Why did you choose this medium?  Can you articulate this choice to others in a way that may help them develop their ability to discern the most appropriate medium?,,
99,Reflect on It,How comfortable do you believe others are in addressing concerns with you?  What factors lead you to this conclusion?  Are there ways you can increase your openness to feedback from others?,,
100,Reflect on It,In what ways can you help people in your department improve their communication effectiveness?,,
